benchmark_name,status,correct,execution_time_seconds
termination/Benghazi.c,True,yes,26.532000000000004
termination/GopanReps-CAV2006-Fig1a.c,timeout,no,-
termination/Pure2Phase-1.c,timeout,no,-
termination/Mysore-2.c,True,yes,19.172
termination/SyntaxSupportPointer01-2.c,timeout,no,-
termination/Bangalore-2.c,True,yes,16.829
termination/Urban-WST2013-Fig2-modified1000.c,timeout,no,-
termination/LeikeHeizmann-TACAS2014-Ex1.c,True,yes,18.258
termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi3.c,False,no,65.136
termination/Thun-2.c,True,yes,797.906
termination/PodelskiRybalchenko-TACAS2011-Fig4.c,True,yes,16.902
termination/PodelskiRybalchenko-LICS2004-Fig1.c,True,yes,45.699000000000005
termination/AliasDarteFeautrierGonnord-SAS2010-easy2-2.c,True,yes,22.275
termination/Parallel.c,True,yes,31.265
termination/CookSeeZuleger-TACAS2013-Fig8b.c,True,yes,49.67
termination/Gothenburg-1.c,True,yes,27.095
termination/ChenFlurMukhopadhyay-SAS2012-Ex2.20,True,yes,15.186
termination/CookSeeZuleger-TACAS2013-Fig1.c,None,no,324.263
termination/AliasDarteFeautrierGonnord-SAS2010-cousot9.c,True,yes,23.107999999999997
termination/Ackermann-1.c,None,no,104.081
termination/Pure3Phase-1.c,timeout,no,-
termination/4NestedWith3Variables-1.c,timeout,no,-
termination/AliasDarteFeautrierGonnord-SAS2010-random1d-2.c,True,yes,26.750999999999998
termination/PodelskiRybalchenko-TACAS2011-Fig2.c,True,yes,59.645
termination/LeeJonesBen-Amram-POPL2001-Ex4.c,None,no,0.51
termination/AliasDarteFeautrierGonnord-SAS2010-random2d.c,True,yes,66.36
termination/Copenhagen.c,True,yes,22.353
termination/ChenFlurMukhopadhyay-SAS2012-Ex3.01,True,yes,31.842
termination/SyntaxSupportPointer01-3.c,timeout,no,-
termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi2.c,True,yes,42.476
termination/aaron2-1.c,True,yes,23.039
termination/Lobnya-Boolean-Reordered-2.c,True,yes,24.957
termination/SyntaxSupportPointer01-1.c,timeout,no,-
termination/Mysore-3.c,None,no,111.941
termination/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.c,None,no,397.007
termination/TelAviv-Amir-Minimum.c,timeout,no,-
termination/AliasDarteFeautrierGonnord-SAS2010-loops.c,True,yes,72.19800000000001
termination/aaron3-1.c,timeout,no,-
termination/4BitCounterPointer.c,timeout,no,-
termination/Cairo_step2-3.c,timeout,no,-
termination/LeeJonesBen-Amram-POPL2001-Ex5.c,None,no,0.187
termination/AliasDarteFeautrierGonnord-SAS2010-speedpldi4.c,True,yes,27.552999999999997
termination/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1.c,False,no,131.85999999999999
termination/Arrays03-ValueRestictsIndex-2.c,timeout,no,-
termination/CookSeeZuleger-TACAS2013-Fig8a.c,True,yes,26.704
termination/2Nested-1.c,True,yes,28.325000000000003
termination/PodelskiRybalchenko-TACAS2011-Fig1.c,True,yes,18.44
termination/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d.c,True,yes,33.939
termination/WhileFalse.c,True,yes,12.073
termination/Avery-FLOPS2006-Table1.c,True,yes,63.661
termination/nondet.c,True,yes,19.862000000000002
termination/Cairo_step2-1.c,True,yes,24.017000000000003
termination/UrbanMine-ESOP2014-Fig3.c,True,yes,25.902
termination/Benghazi_nondet-2.c,timeout,no,-
termination/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex.c,None,no,115.082
termination/McCarthy91_Iteration.c,timeout,no,-
termination/MenloPark.c,True,yes,25.209999999999997
termination/CookSeeZuleger-TACAS2013-Fig7b.c,None,no,342.317
termination/BrockschmidtCookFuhs-CAV2013-Fig9a.c,True,yes,135.921
termination/ChawdharyCookGulwaniSagivYang-ESOP2008-easy1.c,timeout,no,-
termination/Copenhagen_simplified.c,timeout,no,-
termination/Cairo.c,True,yes,22.744999999999997
termination/AliasDarteFeautrierGonnord-SAS2010-Fig1.c,True,yes,55.81400000000001
termination/easy1.c,timeout,no,-
termination/Copenhagen_disj-2_test.c,True,yes,12.961000000000002
termination/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6.c,True,yes,14.865000000000002
termination/Piecewise.c,True,yes,17.995
termination/HarrisLalNoriRajamani-SAS2010-Fig1.c,timeout,no,-
termination/HarrisLalNoriRajamani-SAS2010-Fig3.c,timeout,no,-
termination/BradleyMannaSipma-CAV2005-Fig1.c,True,yes,35.917
termination/HeizmannHoenickeLeikePodelski-ATVA2013-Fig4.c,True,yes,19.603
termination/Arrays01-EquivalentConstantIndices-1.c,timeout,no,-
termination/AliasDarteFeautrierGonnord-SAS2010-wcet2.c,True,yes,833.468
termination/Nyala-2lex-2.c,True,yes,17.549
termination/Urban-WST2013-Fig2.c,True,yes,72.154
termination/CookSeeZuleger-TACAS2013-Fig8a-modified.c,True,yes,35.501000000000005
termination/easy3.c,timeout,no,-
termination/Waldkirch.c,True,yes,19.027
termination/CookSeeZuleger-TACAS2013-Fig7a.c,None,no,237.58999999999997
termination/Singapore-2.c,False,no,137.198
termination/Stockholm-1.c,True,yes,15.332
termination/AliasDarteFeautrierGonnord-SAS2010-while2.c,True,yes,82.271
termination/easy4.c,timeout,no,-
termination/AliasDarteFeautrierGonnord-SAS2010-nestedLoop-1.c,timeout,no,-
termination/Toulouse-BranchesToLoop-2.c,None,no,516.908
termination/BrockschmidtCookFuhs-CAV2013-Introduction.c,True,yes,20.658
termination/HeizmannHoenickeLeikePodelski-ATVA2013-Fig1.c,True,yes,19.183999999999997
termination/Toulouse-MultiBranchesToLoop-2.c,None,no,427.385
termination/while_infinite_loop_4.c,True,yes,24.389
termination/ChawdharyCookGulwaniSagivYang-ESOP2008-easy2.c,True,yes,22.79
termination/ChawdharyCookGulwaniSagivYang-ESOP2008-random2d.c,True,yes,63.153000000000006
termination/AliasDarteFeautrierGonnord-SAS2010-wise.c,True,yes,33.506
termination/LeikeHeizmann-TACAS2014-Ex9.c,True,yes,21.652
termination/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5.c,True,yes,26.755000000000003
termination/easy2.c,timeout,no,-
termination/AliasDarteFeautrierGonnord-SAS2010-easy1.c,timeout,no,-
termination/Addition01-1.c,None,no,0.168
termination/aviad.c,True,yes,25.372999999999998
termination/LeikeHeizmann-WST2014-Ex9.c,True,yes,19.182000000000002
termination/Copenhagen_disj-2.c,True,yes,102.10299999999998
nontermination/Velroyen.c,False,yes,108.89499999999998
nontermination/jain_6-1.c,timeout,no,-
nontermination/ConvLower.c,None,no,90.16
nontermination/Division_fn.c,False,yes,101.406
nontermination/Bangalore_v2.c,None,no,115.81400000000001
nontermination/psyco_abp_1-3.c,timeout,no,-
nontermination/for_infinite_loop_2.c,timeout,no,-
nontermination/MutualRecursion_test.c,None,no,2.116
nontermination/ll_append_rec-alloca-2.c,None,no,0.151
nontermination/psyco_abp_1-1.c,timeout,no,-
nontermination/AlternKonv.c,timeout,no,-
nontermination/ChenCookFuhsNimkarOHearn-TACAS2014-Introduction.c,None,no,107.236
nontermination/Flip2.c,False,yes,108.229
